LINN-BENTON COMMUNITY COLLEGE,,,,
College Now Courses,,,,
,,,,
Crescent Valley High School ,,,,
Check with the high school counselor for course availability,,,,
,,,,11/2025
High School Class,LB Course #,LB Title,CR,HS Teacher
Intermediate Ceramics (ARCERA2 A/B),ART 154,Cermics I,4,"Moses, K"
Advanced Ceramics (ARCERA3 A/B),ART 254,Cermics II,4,"Moses, K"
Physics,GS104,Physical Science: Principles of Physics,4,"Bregar, D"
Honors Senior Lit & Comp,WR 121Z,Composition I,4,"Jordan, S"
AP Language,WR 121Z,Composition I ,4,"Wight, L"
AP Government and Politics,PS 201,Introduction to Amer. Politics & Government ,3,"Perley, K"
AP US History,HST 201,Colonial and Revolution,4,"Perley, K"
AP US History,HST 202,Civil War and Reconstruction,4,"Perley, K"
AP US History,HST 203,Rise to World Power,4,"Perley, K"
Sports and Health,HE 110 ,First Aid/CPR                        ,1,"Corkery, C"
,PE 231,Lifetime Health & Fitness  ,3,
Health 2,HE 110 ,First Aid/CPR                        ,1,"Stone, K "
,PE 231,Lifetime Health & Fitness  ,3,
Math in Society,MTH 105Z ,Math in Society,4,"Howe, R"
Precalculus (Semester 1),MTH 111Z,Precalculus I: Functions,4,"Mock, A"
Precalculus (Semester 2),MTH 112Z,Precalculus II: Trigonometry,4,"Mock, A"
Differential Calculus,MTH 251Z,Differential Calculus ,4,"Zimmers, H"
Spanish 3,SPN 102,First Year Spanish II ,4,"Dickerson, S"
Spanish 4,SPN 103,First Year Spanish III ,4,"Dickerson, S"
Spanish 5/AP Spanish ,SPN 201,Second Year Spanish I ,4,"Dickerson, S"
